# PAR,T_day
3.167598160416667383e+02,2.298039999999999949e+01
3.357704891666666640e+02,2.498880000000000123e+01
5.229058337499999425e+02,2.645960000000000178e+01
6.607224327083332582e+02,2.843079999999999785e+01
6.435711368749999792e+02,2.831439999999999557e+01
5.885110368750000589e+02,2.603080000000000283e+01
6.558417033333333848e+02,2.449919999999999476e+01
5.049800856249999583e+02,2.620720000000000738e+01
4.417019200000000296e+02,2.608680000000000376e+01
5.808601024999999254e+02,2.511479999999999890e+01
5.724779674999999770e+02,2.261599999999999966e+01
2.936822539583333764e+02,2.240559999999999974e+01
5.126571166666667523e+02,2.287759999999999749e+01
5.492536912500000881e+02,2.602279999999999660e+01
4.955461222916666770e+02,2.758239999999999270e+01
6.267869229166666400e+02,2.984719999999999729e+01
5.514767772500000547e+02,2.594800000000000750e+01
6.328359806666666145e+02,2.362240000000000606e+01
6.250111825000000181e+02,2.460680000000000689e+01
5.443562804166666638e+02,2.541600000000000037e+01
5.981466185416668395e+02,2.811760000000000659e+01
4.870530349999999657e+02,3.007280000000000086e+01
5.666402268749999394e+02,2.927960000000000207e+01
5.307591633333332766e+02,2.862880000000000180e+01
5.694790508333333037e+02,2.820839999999999748e+01
3.634256695833333310e+02,2.728160000000000451e+01
5.341726141666666763e+02,2.756800000000000495e+01
6.501388897916666565e+02,2.399119999999999919e+01
5.735916581249999808e+02,2.439639999999999986e+01
6.246853325000000723e+02,2.449839999999999307e+01
5.865172522916667504e+02,2.646079999999999899e+01
5.739206772916667205e+02,2.659959999999999880e+01
3.358961461249999729e+02,2.459639999999999560e+01
5.626602010833333907e+02,2.533719999999999928e+01
5.530517979583332817e+02,2.294640000000000413e+01
4.717485907083333245e+02,2.229879999999999640e+01
4.681446116666667763e+02,2.284839999999999804e+01
6.086342028333333474e+02,1.996240000000000592e+01
6.145708032916667207e+02,2.160399999999999920e+01
5.973860656250000147e+02,2.444440000000000168e+01
5.600429910416665962e+02,2.727479999999999549e+01
